English,French,German,Italian,Spanish,Dutch,Swedish
I,je,ich,io,yo,ik,jag
you,tu,du,tu,tú,jij,du
he,il,er,lui,él,hij,han
we,nous,wir,noi,nosotros,wij,vi
they,ils,sie,loro,ellos,zij,de
this,ceci,dieses,questo,este,deze,det
that,cela,das,quello,ese,die,det
here,ici,hier,qui,aquí,hier,här
there,là,dort,là,ahí,daar,där
who,qui,wer,chi,quien,wie,vem
what,quoi,was,che,que,wat,vad
where,où,wo,dove,donde,waar,var
when,quand,wann,quando,cuando,wanneer,när
how,comment,wie,come,como,hoe,hur
not,ne,nicht,non,no,niet,inte
all,tout,alle,tutto,todo,al,alla
many,plusieurs,viele,molti,muchos,veel,många
some,quelques,einige,alcuni,algunos,enkele,några
few,peu,wenige,pochi,poco,weinig,få
other,autre,andere,altro,otro,ander,annan
one,un,eins,uno,uno,een,ett
two,deux,zwei,due,dos,twee,två
three,trois,drei,tre,tres,drie,tre
four,quatre,vier,quattro,cuatro,vier,fyra
five,cinq,fünf,cinque,cinco,vijf,fem
big,grand,groß,grande,grande,groot,stor
long,long,lang,lungo,largo,lang,lång
wide,large,breit,largo,ancho,breed,bred
thick,épais,dick,spesso,grueso,dik,tjock
heavy,lourd,schwer,pesante,pesado,zwaar,tung
small,petit,klein,piccolo,pequeño,klein,liten
short,court,kurz,corto,corto,kort,kort
narrow,étroit,eng,stretto,estrecho,smal,trång
thin,mince,dünn,sottile,delgado,dun,tunn
woman,femme,Frau,donna,mujer,vrouw,kvinna
man,homme,Mann,uomo,hombre,man,man
child,enfant,Kind,bambino,niño,kind,barn
wife,femme,Frau,moglie,esposa,vrouw,hustru
husband,mari,Mann,marito,esposo,man,man
mother,mère,Mutter,madre,madre,moeder,mamma
father,père,Vater,padre,padre,vader,pappa
animal,animal,Tier,animale,animal,dier,djur
fish,poisson,Fisch,pesce,pez,vis,fisk
bird,oiseau,Vogel,uccello,ave,vogel,fågel
dog,chien,Hund,cane,perro,hond,hund
louse,pou,Laus,pidocchio,piojo,luis,lus
snake,serpent,Schlange,serpente,serpiente,slang,orm
worm,ver,Wurm,verme,gusano,worm,mask
tree,arbre,Baum,albero,árbol,boom,träd
forest,forêt,Wald,foresta,bosque,woud,skog
stick,bâton,Stock,bastone,palo,stok,pinne
fruit,fruit,Frucht,frutta,fruta,fruit,frukt
seed,graine,Samen,seme,semilla,zaad,frö
leaf,feuille,Blatt,foglia,hoja,blad,löv
root,racine,Wurzel,radice,raíz,wortel,rot
bark,écorce,Rinde,corteccia,corteza,schors,bark
flower,fleur,Blume,fiore,flor,bloem,blomma
grass,herbe,Gras,erba,hierba,gras,gräs
rope,corde,Seil,corda,cuerda,touw,rep
skin,peau,Haut,pelle,piel,huid,hud
meat,viande,Fleisch,carne,carne,vlees,kött
blood,sang,Blut,sangue,sangre,bloed,blod
bone,os,Knochen,osso,hueso,been,ben
fat,graisse,Fett,grasso,grasa,vet,fett
egg,œuf,Ei,uovo,huevo,ei,ägg
horn,corne,Horn,corno,cuerno,hoorn,horn
tail,queue,Schwanz,coda,cola,staart,svans
feather,plume,Feder,piuma,pluma,veer,fjäder
hair,cheveu,Haar,capelli,cabello,haar,hår
head,tête,Kopf,testa,cabeza,hoofd,huvud
ear,oreille,Ohr,orecchio,oreja,oor,öra
eye,œil,Auge,occhio,ojo,oog,öga
nose,nez,Nase,naso,nariz,neus,näsa
mouth,bouche,Mund,bocca,boca,mond,mun
tooth,dent,Zahn,dente,diente,tand,tand
tongue,langue,Zunge,lingua,lengua,tong,tunga
fingernail,ongle,Fingernagel,unghia,uña,vingernagel,nagel
foot,pied,Fuß,piede,pie,voet,fot
leg,jambe,Bein,gamba,pierna,been,ben
knee,genou,Knie,ginocchio,rodilla,knie,knä
hand,main,Hand,mano,mano,hand,hand
wing,aile,Flügel,ala,ala,vleugel,vinge
belly,ventre,Bauch,pancia,barriga,buik,mage
guts,entrailles,Eingeweide,intestino,entrañas,ingewanden,inälvor
neck,cou,Hals,collo,cuello,nek,hals
back,dos,Rücken,schiena,espalda,rug,rygg
breast,sein,Brust,petto,pecho,borst,bröst
heart,cœur,Herz,cuore,corazón,hart,hjärta
liver,foie,Leber,fegato,hígado,lever,lever
drink,boire,trinken,bere,beber,drinken,dricka
eat,manger,essen,mangiare,comer,eten,äta
bite,mordre,beißen,mordere,morder,bijten,bita
suck,sucer,saugen,succhiare,chupar,zuigen,suga
spit,cracher,spucken,sputare,escupir,spuwen,spotta
vomit,vomir,erbrechen,vomitare,vomitar,braken,kräkas
blow,souffler,blasen,soffiare,soplar,blazen,blåsa
breathe,respirer,atmen,respirare,respirar,ademen,andas
laugh,rire,lachen,ridere,reír,lachen,skratta
see,voir,sehen,vedere,ver,zien,se
hear,entendre,hören,udire,oír,horen,höra
know,savoir,wissen,sapere,saber,weten,veta
think,penser,denken,pensare,pensar,denken,tänka
smell,sentir,riechen,odorare,oler,ruiken,lukta
fear,craindre,fürchten,temere,temer,vrezen,frukta
sleep,dormir,schlafen,dormire,dormir,slapen,sova
live,vivre,leben,vivere,vivir,leven,leva
die,mourir,sterben,morire,morir,sterven,dö
kill,tuer,töten,uccidere,matar,doden,döda
fight,battre,kämpfen,combattere,pelear,vechten,strida
hunt,chasser,jagen,cacciare,cazar,jagen,jaga
hit,frapper,schlagen,colpire,golpear,slaan,slå
cut,couper,schneiden,tagliare,cortar,snijden,skära
split,fendre,spalten,dividere,partir,splijten,dela
stab,poignarder,stechen,pugnalare,apuñalar,steken,sticka
scratch,gratter,kratzen,graffiare,arañar,krabben,klia
dig,creuser,graben,scavare,cavar,graven,gräva
swim,nager,schwimmen,nuotare,nadar,zwemmen,simma
fly,voler,fliegen,volare,volar,vliegen,flyga
walk,marcher,gehen,camminare,caminar,lopen,gå
come,venir,kommen,venire,venir,komen,komma
lie,s'étendre,liegen,distendersi,echarse,liggen,ligga
sit,s'asseoir,sitzen,sedere,sentarse,zitten,sitta
stand,se lever,stehen,stare in piedi,estar de pie,staan,stå
turn,tourner,drehen,girare,voltear,draaien,svänga
fall,tomber,fallen,cadere,caer,vallen,falla
give,donner,geben,dare,dar,geven,ge
hold,tenir,halten,tenere,sostener,houden,hålla
squeeze,serrer,quetschen,spremere,apretar,knijpen,klämma
rub,frotter,reiben,strofinare,frotar,wrijven,gnida
wash,laver,waschen,lavare,lavar,wassen,tvätta
wipe,essuyer,wischen,asciugare,limpiar,vegen,rensa
pull,tirer,ziehen,tirare,tirar,trekken,dra
push,pousser,drücken,spingere,empujar,duwen,trycka
throw,jeter,werfen,tirare,tirar,werpen,kasta
tie,lier,binden,legare,atar,knopen,knyta
sew,coudre,nähen,cucire,coser,naaien,sy
count,compter,zählen,contare,contar,tellen,räkna
say,dire,sagen,dire,decir,zeggen,säga
sing,chanter,singen,cantare,cantar,zingen,sjunga
play,jouer,spielen,giocare,jugar,spelen,leka
float,flotter,schweben,galleggiare,flotar,zweven,flyta
flow,couler,fließen,fluire,fluir,vloeien,rinna
freeze,geler,frieren,gelare,helar,vriezen,frysa
swell,gonfler,schwellen,gonfiare,hincharse,zwellen,svälla
sun,soleil,Sonne,sole,sol,zon,sol
moon,lune,Mond,luna,luna,maan,måne
star,étoile,Stern,stella,estrella,ster,stjärna
water,eau,Wasser,acqua,agua,water,vatten
rain,pluie,Regen,pioggia,lluvia,regen,regn
river,rivière,Fluß,fiume,río,rivier,flod
lake,lac,See,lago,lago,meer,sjö
sea,mer,Meer,mare,mar,zee,hav
salt,sel,Salz,sale,sal,zout,salt
stone,pierre,Stein,pietra,piedra,steen,sten
sand,sable,Sand,sabbia,arena,zand,sand
dust,poussière,Staub,polvere,polvo,stof,damm
earth,terre,Erde,terra,tierra,aarde,jord
cloud,nuage,Wolke,nuvola,nube,wolk,moln
fog,brouillard,Nebel,nebbia,niebla,mist,dimma
sky,ciel,Himmel,cielo,cielo,lucht,himmel
wind,vent,Wind,vento,viento,wind,vind
snow,neige,Schnee,neve,nieve,sneeuw,snö
ice,glace,Eis,ghiaccio,hielo,ijs,is
smoke,fumée,Rauch,fumo,humo,rook,rök
fire,feu,Feuer,fuoco,fuego,vuur,eld
ashes,cendres,Asche,ceneri,cenizas,as,aska
burn,brûler,brennen,bruciare,quemar,branden,brinna
road,route,Straße,strada,camino,weg,väg
mountain,montagne,Berg,montagna,montaña,berg,berg
red,rouge,rot,rosso,rojo,rood,röd
green,vert,grün,verde,verde,groen,grön
yellow,jaune,gelb,giallo,amarillo,geel,gul
white,blanc,weiß,bianco,blanco,wit,vit
black,noir,schwarz,nero,negro,zwart,svart
night,nuit,Nacht,notte,noche,nacht,natt
day,jour,Tag,giorno,día,dag,dag
year,an,Jahr,anno,año,jaar,år
warm,chaud,warm,caldo,cálido,warm,varm
cold,froid,kalt,freddo,frío,koud,kall
full,plein,voll,pieno,lleno,vol,full
new,nouveau,neu,nuovo,nuevo,nieuw,ny
old,vieux,alt,vecchio,viejo,oud,gammal
good,bon,gut,buono,bueno,goed,bra
bad,mauvais,schlecht,cattivo,malo,slecht,dålig
rotten,pourri,verrottet,marcio,podrido,rot,rutten
dirty,sale,schmutzig,sporco,sucio,vies,smutsig
straight,droit,gerade,diritto,recto,recht,rak
round,rond,rund,rotondo,redondo,rond,rund
sharp,tranchant,scharf,aguzzo,afilado,scherp,vass
dull,émoussé,stumpf,noioso,desafilado,stomp,slö
smooth,lisse,glatt,liscio,suave,glad,len
wet,mouillé,nass,bagnato,mojado,nat,våt
dry,sec,trocken,asciutto,seco,droog,torr
correct,juste,richtig,corretto,correcto,juist,rätt
near,proche,nah,vicino,cerca,dichtbij,nära
far,loin,weit,lontano,lejos,ver,fjärran
right,à droite,rechts,destra,derecha,rechts,höger
left,à gauche,links,sinistra,izquierda,links,vänster
at,à,bei,a,a,aan,hos
in,dans,in,in,en,in,i
with,avec,mit,con,con,met,med
and,et,und,e,y,en,och
if,si,wenn,se,si,als,om
because,parce,weil,perché,porque,omdat,eftersom
name,nom,Name,nome,nombre,naam,namn
