en	es	fr	it	de	nl	sv	fi	ru	cs	hu	tr	mk	id	bg	ca	da	et	he	no	pl	pt	ro	sk	sl	uk	el	hr
sleep	dormir	sommeil	sonno	schlaf	slaap	sömnen	nukkua	бодрствования	spánku	alvás	uyku	неспиење	tidur	съня	dormir	søvnparalyse	söömishäire	לישון	søvn	snu	dormir	somn	spánku	spanje	сну	αϋπνία	spavanje	
live	live	live	live	live	live	live	live	жить	live	élő	canlı	живо	live	живо	live	live	live	לחיות	live	live	vivo	live	živé	živi	жити	ζωντανά	uživo	
die	die	die	die	sterben	menschlichen	die	sehnsucht	умереть	tragödie	letzten	deinem	лудендорф	französischen	берлихинген	die	die	aufl	למות	daß	betrachtungen	die	hochzeit	die	menschheit	померти	πεθάνει	zeit	
kill	matar	tuer	uccidere	töten	vermoorden	hämnas	tappaa	убить	zabít	megölni	öldürmek	убие	membunuh	убие	matar	dræbe	tappa	להרוג	drepe	zabić	matar	ucide	zabiť	ubije	вбити	σκοτώσει	ubiti	
fight	luchar	combat	combattere	kampf	vechten	slåss	taisteluaan	бой	bojovat	harc	dövüşerek	борбата	pertarungannya	битка	lluitar	kæmpe	võitlemas	להילחם	kjempe	walka	lutar	lupta	bojovať	boj	бій	πολεμάει	borbe	
hunt	hunt	hunt	cacciatore	jagd	jacht	jakt	hunt	охота	lovec	vadászata	avcısı	лов	pemburu	лов	cacera	jagte	hunt	לצוד	jakte	hunt	caçar	vânător	hogg	lov	полювання	ελαφοκυνηγός	lov	
hit	hit	touché	hit	hit	hit	förstaplatsen	hitti	хит	hit	telitalálat	hit	топ	hit	хит	disparat	hit	hitti	ללהיט	billboard	przebojem	hit	hit	hit	zavihtela	хіт	αστόχησε	hit	
cut	cortar	coupées	tagliata	weggeschnitten	weggesneden	skära	leikattu	вырезать	odstřihnout	vágták	kesilen	исече	dipotong	отрязаните	tallar	overskåret	vaheltlõiked	שנחתכו	kutte	wycięte	cortar	tăiat	rozrezaný	zarezan	вирізаний	προεξείχαν	odreže	
split	separarse	scission	scissi	aufgeteilt	gesplitste	splittrades	kahtia	разделено	rozdělen	szétváltak	bölünmüş	поделен	digabung	разделени	separar	splittes	jagatuna	פיצול	splittet	rozdzielone	dividir	separase	rozdelení	razdelitvijo	розділено	διαχωρίστηκαν	podijeljena	
stab	apuñalar	poignarder	pugnalarlo	kopfschuss	verwondt	såra	haavoittaa	ножом	bodne	sebet	yaralamak	прободе	menusuk	прободе	apunyalar	selvmorderisk	tulistada	לדקור	såret	zastrzelić	esfaqueá	rănească	postrelí	ustreliti	пораненого	τραυματίσει	ubojite	
scratch	trabajarlo	retravailler	scratch	scratch	wikificeren	mjukvaran	väsätä	заново	vylepšovat	inkscape	geliştirebilir	подобрам	scratch	перце	empastar	scrap	lihvida	העתק/הדבק	finpusse	ulepszać	scratching	stearga	odznovu	lotiš	витирати	ξεκινήσαμε	doraditi	
dig	excavar	fouiller	scavare	auszugraben	opgraven	gräva	kaivaa	копать	vykopat	ásni	kazmak	ископаат	menggali	изкопаят	excavar	udgraver	uuristada	לחפור	grave	wykopać	escavar	scoate	vykopať	izkopal	копати	σκάψει	iskopati	
swim	nadar	nager	nuotare	schwimmen	zwemmend	simma	uinti 	плавать	plavat	úszni	yüzmek	пливање	berenang	плуване	nedar	svømme	ujuda	שחייה	svømme	pływać	nadar	înoată	plávať	plavanje	пірнати	κολυμπήσουν	plivati	
fly	volar	décollant	volare	fliegen	vliegen	flyga	lentää	взлетать	létat	repülni	uçmak	лет	terbang	лети	volar	flyve	lenda	לטוס	fly	latać	voar	zbura	letieť	leteti	злітати	πτήσει	letjeti	
walk	caminar	promener	camminare	spazieren	wandelen	åka	kävellä	прогуляться	ujít	sétálni	parkurda	трчаа	menyusuri	разходката	passejar	overnatte	kõndida	הליכה	spasere	przejażdżkę	caminhar	plimbă	prechádzka	sprehajalno	покататися	περπατάνε	šetati	
come	venir	venir	arrivino	kommen	komen	komma	mennä	прийти	přijít	eljönni	geldik	доаѓаш	datang	дойдат	venir	komme	jõudsime	ללכת	komme	przyjdą	vir	merge	prichádzať	prihajamo	прийдуть	έρθουν	dolaziš	
lie	hallarse	bornés	giacciono	liegen	liggen	genomskåda	kumpua	простираются	zdvíhá	fekszenek	çevrel	пресекуваат	melingkupinya	лежат	topològicament	sørme	hulknurga	המישור	væren	euklidesowa	intersectar	delimitează	neležia	ležijo	лежать	εφάπτονται	presijecaju	
sit	sentarse	promener	sedersi	sitzen	plaatsnemen	sitta	istua	сидеть	sedět	ülni	oturmak	седеа	duduk	седят	seure	sidde	kõndida	לשבת	sitte	usiąść	sentar	canapea	sedieť	stopalo	сидіти	κάθονται	sjesti	
stand	sentarse	battre	stare	stehen	staan	stå	mainostaa	стоять	padnout	felállni	kalabilecek	стоиш	stand	стаия	parèixer	stå	seise	לעמוד	stå	pozwólcie	fazer	cușcă	sedieť	pokonci	стояти	καθίσει	dosuditi	
turn	inclinarse	tourner	lentamente	lenken	afschudden	vända	kääntyä	повернуть	tak	aztán	dönüşüp	придвижи	mengarahkannya	постепенно	girar	bevæge	niiöelda	להתגלגל	bevege	zadziałać	virar	iar	naháňať	tako	вправо	στροφή	tako	
fall	caída	chute	caduta	fallen	vallen	faller	pudota	падают	pádu	őszre	düşmesi	падне	jatuh	есента	caiguda	falde	langeda	והקיץ	falle	upadek	cair	căderea	páde	pade	падають	πτώση	pada	
give	dar	donner	dare	geben	geven	ge	antaa	дать	dát	adni	vermek	даде	memberikan	даде	donar	give	anda	לתת	gi	dać	dar	dă	dať	priskrbijo	надати	δώσει	dati	
hold	sostenerse	tenir	tenere	halten	houden	hålla	ottaa	держать	držet	tartani	elinde	подаде	merapatkan	положат	sostenir	beholde	kõigutada	להחזיק	holde	posiadać	levantar	ține	držať	pritisnila	тримати	κατέλθουν	održati	
squeeze	empujar	squeeze	tappare	stopfen	gaatje	bubbling	pretender	опустить	zahodit	minimalizálni	throttle	свиткаат	squeeze	приплъзване	inflar	klemme	pingutada	המלכודת	fingers»	tight	espremer	spare	bootsy	pritisnemo	перевернути	τρύπημα	stisnuti	
rub	rub	frotter	strofinare	beißen	smeren	slicka	puristaa	салфетки	nalepí	mosni	muk	каиш	dipipihkan	изцежда	humitejar	røv	nahka	להתלכלך	tygge	rub	esfregar	murdăria	bilirubín	prhljaj	кладуть	φουσκώσει	ošit	
wash	limpiarse	laver	lavare	waschen	insmeren	tvättas	kuivataan	мыть	vysušit	tisztítani	yıkamak	измие	mencucinya	налива	rentar	vaske	mõdu	מטפטפים	vaske	mycia	lavar	spălând	čistiť	čistilih	миття	στεγνώσει	čistimo	
wipe	destruir	anéantir	distruggersi	auszulöschen	vernietigen	förstöra	pyyhkiä	стереть	vyhladit	pusztítani	temizlemek	уништи	menghancurkannya	избие	destruir	ødelægge	hävida	להשמיד	ødelegge	zniszczyć	exterminar	distruge	zničiť	izbrizga	знищити	καθαρίσει	uništiti	
pull	engancharse	enfoncer	trascinare	schieben	duwen	dra	työntää	потянуть	natáhnout	csavarni	sallamak	свиткаат	menggerakkannya	издърпва	estirar	skubbe	keerata	לדחוף	dytte	wsadzić	puxar	manevrează	natiahnuť	povleči	потягнути	σπρώξει	uskočiti	
push	empujar	freiner	spingere	positionieren	duwen	dra	työntää	протолкнуть	tlačit	fékezni	kaydırmak	притисне	menggerakan	повлече	empènyer	skubbe	liigutada	ולדחוף	stoppe	przesuwać	empurrar	balanseze	posúvať	pritisniti	розвернути	σπρώξιμο	pritišće	
throw	tirar	lancer	tirare	werfen	gooien	kasta	heittää	бросить	přehodit	lökni	silkmede	фрлања	melempar	хвърлянето	tirar	kaste	visata	ובזריקת	kaste	rzucając	arremessá	aruncare	skočiť	zgrabi	влучити	τρεξίματα	bacanje	
tie	desempate	prolongations	pareggio	elfmeterschießen	playoff	dubbelmötet	otteluparin	победную	duelu	idegenbeli	uzatmalarında	победија	#babak	полуфиналните	empatada	kvartfinalepuljerne	penaltiseerias	המפסידות	hjemme/borte	przegrany	desempate	manșa	remízou	finalno	двоматчевому	ισοπαλία	utakmica	
sew	tejer	tricoter	cucire	nähen	naaien	fläta	kenkiä	вышивкой	vyšívání	varrni	dikişsiz	ткае	menjahit	обуват	brodar	syer	õmmelda	לתפור	tøy	bieliznę	costurar	cusut	ručne	oblekico	шити	χαρτωσιά	skuhati	
count	conde	comte	conte	graf	graaf	pfalzgreve	kreivi	граф	dolnolotrinský	őrgróf	kont	грофот	count	бройх	comte	greve	krahv	והדוכס	greve	hrabia	conde	conte	vojvoda	grof	герцог	κόμης	grof	
say	decirnos	crois	dire	gesagt	inderdaad	verkligen	sanoa	сказать	říct	mondani	söylemiyorum	сфатиш	katakan	мисля,че	considerarem	jeg	ütleksime	להגיד	mene	powiedzieć	dizer	spuneai	povedať	rečeš	сказати	καταλαβαίνεις	misliti	
sing	cantar	chanter	cantare	singen	zingen	sjunga	laulaa	петь	zpívat	énekelni	seslenmek	пее	menyanyikannya	пее	cantar	synge	laulda	לשיר	synge	śpiewać	cantar	cântă	spievať	zapojejo	заспівати	τραγουδούν	otpjevati	
play	jugar	jouer	giocare	mitspielen	spelen	spela	pelata	играть	hrát	játszani	oynamak	играј	bermain	играе	jugar	spille	mängi	לשחק	spille	zagrać	jogar	juca	hrať	igra	грати	παίξει	igrati	
float	flotar	flottant	galleggiare	float	luchtbelletjes	flytkraft	pohjassa	перевернуть	float	lebegve	yüzen	лебди	mengambang	изплуват	flotar	flyde	rippuda	לצוף	flyte	odpływy	flutuar	plutind	plávajú	lebdijo	перевернути	πλωτήρα	plutati	
flow	flujo	écoulement	flusso	abfließen	uitstromen	flöde	virtaus	потока	proudění	vízmennyiség	akış	водотекот	mengalirkan	потока	flux	vandstrømme	voolava	זרימת	vanngjennomstrømning	przepływ	fluxo	debitul	tok	pretoka	протіканні	ροή	protok	
freeze	congelarse	geler	congela	einfrieren	bevriezen	fryser	jäähtyy	заморозить	zmrazit	lehűtik	dondurucu	замрзне	membeku	замразява	congelar	fryses	külmu	להקפאה	fryse	zamrożenie	congelar	înghețe	prehriatie	namoči	заморожування	αδιαβροχοποίηση	zamrzavanje	
swell	soplar	gonflent	ingrossamento	blasen	zwellen	sväller	myrskyjä	ветром	praskání	megduzzad	aşındırır	℃	mengerut	издутини	fluixos	afkølende	kuhjub	להתאדות	cumulonimbus	sztormy	escorrência	umflătură	opadávajú	navlaži	припливи	ανυψωθεί	kapke	
sun	sol	soleil	sole	sonne	zon	solen	auringon	солнце	slunce	merkúr	güneş	сонцето	sun	слънцето	sol	sol	päikese	השמש	sun	słońca	sol	soarele	slnko	sonca	сонце	ήλιος	sunce	
moon	luna	lune	luna	mond	maan	månen	kuun	луна	jupiteru	hold	güneş	месечината	moon	луната	lluna	månes	päikesetuul	הירח	månen	księżyca	lua	soarele	mesiac	lunin	місяця	σελήνη	sunca	
star	estrella	étoiles	stella	stern	sterren	stjärna	tähti	звездой	hvězdy	csillagpor	yıldızı	ѕвезда	star	звезда	estrella	stjerne	täht	כוכב	stjerne	gwiazda	estrela	star	hviezda	zvezdo,	зірка	αστέρα»	zvijezda	
water	agua	eau	acqua	wasser	water	vatten	vesi	воды	vody	víz	suyun	вода	air	вода	aigua	vand	vihmavee	מים	vann	wody	água	apei	vody	vodo	води	νερό	voda	
rain	lluvia	pluie	pioggia	regen	regen	regn	sateinen	дождя	deště	esőzés	yağmur	дождовите	hujan	дъжд	pluja	regn	vihmase	גשם	regn	deszcze	chuva	ploaie	daždivých	padavina	дощ	βροχή	kiše	
river	río	rivière	fiume	fluss	rivier	floden	joen	реки	řeky	folyócska	nehri	реката	sungai	река	riu	floden	jõe	נהר	elven	rzeki	rio	râul	rieky	reke	річки	ποταμού	rijeke	
lake	lago	lac	lago	lake	lake	sjö	järvi	озеро	jezero	tó	gölü	езерото	danau	езерото	llac	søen	kalajärv	אגם	lake	jeziora	lago	lacul	jazera	jezero	озера	λίμνη	jezera	
sea	mar	mer	mare	meer	zee	hav	meren	море	moře	tenger	deniz	море	laut	морето	mar	havet	mere	הים	havet	morza	mar	mării	morom	morje	моря	θάλασσα	morem	
salt	sal	sel	salato	salt	zout	salt	kalsiumkarbonaatti	соли	solí	szénsavas	tuz	сол	garam	сол	sal	salt	soolvesi	מלח	salt	soli	sal	sare	perlit	soli	сіль	αλάτι	natrijevog	
stone	piedra	pierres	pietra	stein	stenen	stenblock	kivi	камень	kamene	faragott	taş	камен,	stone	каменна	pedra	stenmure	kivist	מאבנים	steintårn	kamienia	pedra	piatră	kameňa	kamen	камінь	πέτρα	kamena	
sand	rocas	sable	sabbia	sand	zand	sand	hiekka	песка	písku	iszapos	kum	песокта	pasir	пясък	sorra	sand	liivaaugu	הורבדה	sand	piaszczysty	areia	nisip	pieskov	peščene	пісок	βράχια	pješčanim	
dust	polvo	poussière	polvere	staub	stofdeeltjes	solstrålningen	pölyä	пыли	prachu	por	toz	прашина	debu	прах	pols	støv	pilvekiht	אבק	støv	pyłowych	poeira	praf	prachu	prah	пилу	σκόνη	prašine	
earth	planeta	planète	pianeta	erde	aarde	jorden	maapallon	планеты	planety	bolygónkat	gezegenler	планетава	bumi	планетата	planeta	jordens	päikesesüsteemist	המגנטוספירה	jorden	planety	planeta	planeta	zeme	zemljino	планетою	πλανήτη	planeta	
cloud	nube	nuage	nubi	cloud	cloud	molnet	pilven	облаке	cloud	felhő	bulut	облак	cloud	облака	núvol	skyer	pilve	הענן	nettskyen	chmurze	nuvem	cloud	medzihviezdneho	oblaku	хмарне	νέφος	oblake	
fog	niebla	brouillard	nebbia	nebel	bewolking	dimma	lumisade	облачности	bouřky	felhős	buzlar	магла	kabut	мъгла	boira	tåge	udu	ערפל	tåke	mgłę	nevoeiro	ceață	sneženie	megla	тумані	ομίχλης	magle	
sky	cielo	ciel	sky	sky	sky	sky	taivaansininen	небо	sky	sky	sky	небото	sky	небето	cel	sky	taevas	השמיים	sky	sky	sky	cerul	sky	nebo	неба	ουρανό	neba	
wind	viento	vent	vento	wind	wind	vind	tuuli	ветра	větru	szél	rüzgar	ветерот	angin	вятъра	vent	blæser	tuul	רוחות	vind	wiatru	vento	vânt	vetra	veter	вітру	ανέμους	vjetra	
snow	nieve	neige	neve	schnee	sneeuw	snö	lumi	снега	sníh	havas	kar	снег	salju	сняг	neu	sne	lumi	שלג	snø	śniegiem	neve	zăpadă	snehu	sneg	сніг	χιόνι	snijegom	
ice	hielo	glace	ghiaccio	eis	ijs	ishockeyn	jääkiekko	лёд	lední	jég	buz	мраз	es	лед	gel	ice	jäähoki	קרח	isen	lodzie	gelo	gheață	ľadový	ledu	льодова	χόκεϊ	ledu	
smoke	humo	fumée	fumo	rauch	rook	bläcket	palavat	дым	kouře	füstöt	duman	запаллив	asap	пушек	fum	røg	põleda	עשן	røyk	dymu	fumaça	fum	dymí	hlapi	диму	καπνό	dima	
fire	fuego	feu	fuoco	feuer	vuur	eld	tulipaloa	пожар	oheň	tűz	ateş	оган	kebakaran	пожар	foc	ild	tulekahi	אש	ild	ogień	fogo	incendiul	krupobitie	ogenj	вогонь	φωτιά	vatra	
ashes	cenizas	cendres	ceneri	asche	grafkist	aska	tuhkat	прах	pohřbeného	hamvadó	veda	пепел	abunya	гробищата	cendres	begraves	surnuist	מגופות	begravde	prochy	cinzas	îngropa	pohrebov	truplom	попіл	αποτεφρώθηκαν	pepeo	
burn	quemar	brûler	bruciare	verbrennen	verbranden	bränna	polttaa	сжигать	spálit	elégetni	yakmak	запаллива	membakar	изгори	cremar	brænde	põleda	שורפת	brenne	spalić	queimar	arde	zrútiť	zažiganje	спалювати	καίγοντας	zapaljenje	
road	carretera	route	strada	road	asfaltweg	landsvägen	tie	шоссе	silnici	út	karayolunu	автопатот	jalan	пътят	carretera	landevejen	maantee	כביש	sykkelveien	droga	estrada	drum	križovatke	cesta	дорога	δρόμος	cesta	
mountain	montaña	montagne	montagna	gebirgsstock	berg	berg	vuori	горы	hory	hegy	dağ	планине	pegunungan	планината	muntanya	bjergene	mägedes	ההר	fjellene	górskie	montanha	muntele	pohoria	gorski	гірський	βουνό	planina	
red	roja	rouge	rosso	roten	rode	röda	punainen	красный	červená	vörös	kırmızı	црвена	merah	червени	vermell	røde	punane	אדום	røde	czerwony	vermelho	roșie	červený	rdeče	червоний	κόκκινο	crveni	
green	verde	vert	verde	grüne	groene	grön	vihreä	зелёный	zelený	zöld	yeşil	зелен	hijau	зелени	verd	grønne	roheline	ירוק	grønn	zielone	verde	verde	zelený	zelene	зелені	πράσινος	zelena	
yellow	amarillo	jaune	giallo	gelben	gele	gula	oranssinkeltainen	жёлтый	žlutá	sárga	sarı	жолтозелени	kuning	жълтозелени	groc	gul	kollane	צהוב	gul	pomarańczowo	amarela	galben	žltá	rumene	жовтий	κίτρινο	žute	
white	blanco	blanc	bianco	weißen	zwarte	vita	valkoinen	белые	bílé	fehér	beyaz	бели	white	бели	blanc	hvide	valge	שחור	hvite	białe	branca	albe	biely	bele	білі	λευκό	bijele	
black	negro	noir	nero	schwarzen	zwarte	svarta	musta	чёрные	černá	fekete	siyah	црни	hitam	черни	negre	sort	musta	שחור	svart	czarny	negro	neagră	čierna	črn	чорний	μαύρο	bijele	
night	noche	nuit	notte	nacht	nacht	kvällen	illan	ночью	noci	éjszaka	gece	ноќта	malam	вечер	nit	natten	õhtu	הלילה	natten	nocy	noite	noapte	noc	ponoči	ніч	νύχτα	noći	
day	día	dimanche	giorno	tag	dag	dagen	päivä	день	den	napon	gün	ден	hari	ден	dia	dagen	päeva	יום	dagen	dzień	dia	ziua	deň	dan	день	μέρα	dan	
year	año	année	anno	jahr	jaar	månad	vuoden	год	rok	év	yıl	месеци,	tahun	годината	any	år	aasta	שנה	året	rok	ano	anului	rok	leto	рік	έτος	godinu	
warm	cálida	froids	caldo	warmen	warme	varma	lämmin	прохладным	chladné	hideg	sıcak	топли	hangat	студени	càlida	varme	sooja	קריר	varm	ciepłe	quente	călduroasă	teplé	toplem	теплим	ζεστό	topliji	
cold	fría	froide	fredda	kalten	koude	kall	kylmä	холодной	studené	hideg	soğuk	студена	dingin	студена	freda	kolde	külm	קר	kalde	zimne	fria	rece	studenej	hladna	холодні	ψυχρό	hladni	
full	completo	complète	pieno	volle	volledige	full	täyden	полный	plné	teljes	full	полна	penuh	пълна	completa	fuld	täielik	מלאה	full	pełna	full	disponibila	plný	polni	т,повний	πλήρη	puni	
new	nueva	nouvelle	nuova	new	new	nya	uusi	новые	nové	új	yeni	нов	new	нова	nova	new	new	חדש	new	nowy	nova	new	nové	nove	новий	νέα	nova	
old	viejo	vieux	vecchio	alte	oude	gammal	vanha	старый	starý	régi	eski	стари	old	стария	vell	gamle	vana	מהעתיקים	gamle	stary	antigo	vechi	starý	stari	старе	παλιό	stari	
good	buen	bonne	buon	gute	goede	bra	hyvä	хороший	dobré	jó	gerçektende	добра	bagus	добро	bona	god	hea	טוב	god	dobre	bom	bună	dobré	dober	гарний	καλή	dobro	
bad	mal	mauvaise	brutto	schlechte	vervelende	dåliga	pahoillani	плохой	špatné	rossz	kötü	лоша	bad	лошо	mala	dårlige	halb	גרוע	dårlig	złe	mau	rău	zlé	prehudo	погані	κακή	loše	
rotten	rotten	tomatoes	rotten	tomatoes	rotten	tomatoes	tomatoes	rotten	rottentomatoes	rotten	tomatoes	„rotten	rotten	rottentomatoes	tomatoes	tomatoes	seeing	rotten	rotten	tomatoes	rotten	rotten	metacritic	metacritic	помідор»	κριτικών rotten	tomatoes	
dirty	sucio	sale	sporchi	schmutzige	vuile	smutsiga	likainen	грязными	špinavý	piszkos	kirli	валкана	scaredy	мръсно	estúpides	beskidte	räpane	מלוכלכות	skitne	brudne	suja	murdar	bloody	umazani	брудний	αστραφτερά	prljavi	
straight	recta	serré	obliquamente	gerader	voorovergebogen	raka	neljännesfinaaliin	вперед	stosurovou	egyenesben	arkaya	потскокнувајќи	gandabelakang	напред	rectes	runderne	sirgelt	ואחורה	forover	gładko	viradas	rostru	trojbodový	navzpred	вгору	ευθεία	produžecima	
round	ronda	finales	semifinali	runde	ronde	omgången	pudotuspelikierroksella	раунд	čtvrtfinále	fordulóban	finaller_şampiyonu	четвртфиналето	putaran	четвъртфинален	ronda	runde	kaheksandikfinaali	שבסיבוב	runde	ćwierćfinałowe	quartas	semifinalei	kolo	četrtfinala	півфінальний	γύρο	doigravanja	
sharp	afilada	aiguisée	tagliente	scharfe	scherpe	påfallande	terävä	резкий	ostrý	éles	keskin	зашилен	tajam	остър	estrident	skarpe	kõverdunud	חדה	skarp	niewyraźny	aveludado	ascuțite	podlhovasté	ostriker	дугоподібний	αιχμηρές	zaobljenu	
dull	lustroso	terne	arruffata	blassen	dof	klarröda	ruskehtava	черновато	špinavě	élénkpiros	renklidir	прошаран	pucat	жълтеникаво	fosc	håragtig	roostepruun	חיוור	glinsende	ciemnobrunatne	maçante	negricioasă	hnedastý	rjavkaste	чорнуваті	γκριζωπή	tamnosmeđim	
smooth	suave	lisse	liscia	glatter	gladde	släta	teräväkärkinen	гладкую	hladkými	görbülő	pürüzsüzdür	издолжи	halus	гладка	suau	glat	sile	פחוס	glatt	gładkiej	suave	lamelele	podlhovasté	gladke	гладкі	οξύληκτα	glatku	
wet	húmedo	humide	umido	nassen	natte	våta	kostea	влажной	vlhké	nedves	nemli	влажни	basah	влажни	humit	fugtige	niiske	ויבשים	fuktig	deszczowych	úmida	umed	teplé	vlažno	перезволоження	υγρασία	vlažne	
dry	seco	humide	asciutte	trocken	droge	torrt	kosteaa	влажной	vlhké	száraz	nemli	влажни	kering	прохладен	humit	tørt	niiske	ויבשים	tørr	wilgotności	úmido	uscată	teplé	vlažne	вологий	υγρασία	vlažne	
correct	correcta	correct	corretto	korrekte	correcte	korrekt	virheellisin	правильно	správné	helytelen	yanlışın	проверам	perhatikan	правилно	correcte	forkert	õigesti	מדוייק	riktige	poprawne	correta	corect	správne	preverljivo	правильно	σωστή	ispravno	
near	cerca	près	vicino	nahe	nabij	utkanten	lähellä	вблизи	poblíž	közelében	yakınlarında	близина	didekat	близост	prop	nærheden	lähedal	בקרבת	nærheten	niedaleko	perto	apropiere	blízko	blizu	поблизу	κοντά	nedaleko	
far	lejos	loin	lontano	weit	heel	betydligt	kaukana	далеко	daleko	messze	daha	далеку	jauh	далеч	lluny	langt	kaugemalegi	שרחוק	langt	gdzieś	longe	mai	ďaleko	daleč	далеко	πέρα	daleko	
right	derecha	gauche	destra	rechten	rechts	höger	oikealla	левой	pravo	bal	sağ	деснак	right	десният	esquerre	højre	vasakule	ימין	venstre	lewa	direita	stângul	ľavý	desno	правий	αριστερή	desno	
left	left	gauche	lasciato	left	achterblijver	lämnade	vasemman	остался	levý	bal	align	лево	left	ляв	esquerre	venstre	vasakule	ימין	align	pozostał	deixado	stânga	nevrátil	desno	зліва	αριστερό	lijevoga	
at	en	où	dove	an	bij	vid	siellä	на	u	ahol	ndaki	хсбц	di	където	prop	ved	piccadilly	,	ved	na	na	la	uk,	na	на	λίγο	na	
in	en	dans	nel	im	in	i	.	в	v	a	da	во	di	в	a	i	.	,	i	w	em	în	v	v	у	στην	u	
with	con	avec	con	mit	met	med	kanssa	с	s	szal	ile	со	dengan	с	amb	med	koos	עם	med	z	com	cu	s	z	з	με	s	
and	y	et	e	und	en	samt	ja	и	a	és	ve	и	dan	и	i	og	ja	,	og	i	e	și	a	in	і	και	i	
if	si	sinon	se	wenn	indien	ifall	jos	если	pokud	ha	eğer	ако	jika	ако	si	hvis	siis	אם	hvis	jeśli	não	dacă	ak	če	якщо	αν	ako	
because	porque	parce	perché	weil	omdat	eftersom	koska	потому	protože	mert	yüzden	бидејќи	karena	защото	perquè	fordi	sest	משום	fordi	dlatego	porque	deoarece	pretože	ker	оскільки	επειδή	jer	
name	nombre	nom	nome	namen	naamnaam	namnet	nimi	названия	jméno	név	ismi	името	nama	името	nom	navn	nimi	השם	navnet	nazwę	nome	numele	názov	ime	назви	όνομα	ime	
