ability	zdolności	Found close match: ['zdolność', 'uzdolnienie']	['umiejętność', 'zdolność', 'uzdolnienie']
personality	osobowość	Match	['istność', 'personality', 'jestestwo', 'indywidualność', 'teorie_osobowości', 'ja', 'jaźń', 'osobowości', 'osobowość', 'istota', 'postać']
philosophy	filozofii	Match	['filozof', 'filozofia', 'system_filozoficzny', 'doktryna', 'szkoła_naukowa', 'filozofii', 'izm', 'doktryny', 'doktryna_polityczna', 'szkoły', 'szkoła_myślenia', 'system_poglądów']
picture	zdjęcie	Match	['wzornictwo', 'pokaż_zdjęcie', 'zobaczyć', 'zdjęcie', 'awatar', 'film', 'cobol', 'obrazek', 'motionpicture', 'filmów', 'zdjęcie_fotografia', 'obraz', 'egzemplifikacja', 'animagus', 'motionpicture_pokaż', 'przestawiać', 'ruchomym_obrazie', 'wideo', 'rysunek', 'ilustrator', 'malarz', 'mentalny_obraz', 'grafika', 'obrazu', 'odmalować', 'fotka', 'wyobrażeń', 'magia_w_świecie_harryego_pottera', 'motion_picture', 'malarka', 'malowidło', 'obrazem', 'zdjęcia', 'movingpokaz_zdjęć', 'obrazowanie', 'słowoobraz', 'parseltongue', 'obraz_słowo', 'malarstwa_klasycznego', 'malarzy', 'rysownik', 'obraz_fotograficzny', 'kiss', 'zdjecie', 'ruchomy_obraz', 'fotografia', 'malarstwo', 'oklumencji', 'ilustracja', 'ilustracji', 'elementy_graficzne', 'wordmalarstwo', 'książek_ilustrowanych', 'dużym_ekranie', 'awatara', 'rycina', 'film_pełnometrażowy', 'zdjęcie_fotograficzne']
pig	pies	Match	['pies', 'klasa_iii', 'nierogacizna', 'paskuda', 'sus', 'glina', 'klasa_i', 'prosić_się', 'trzoda_chlewna', 'siać', 'zhu_wuneng', 'dzik_europejski', 'świnia', 'świnina', 'plucha', 'flejtuch', 'fleja', 'klasa_ii_b', 'scrofa', 'pożreć', 'tłoków', 'prosiaka', 'gliniarz', 'świnia_domowa', 'zgniłek', 'niechlujnie_osoba', 'pożerać', 'conjoiner', 'shoat', 'maciora', 'fv1612_pig', 'pig', 'klasa_iv', 'policjant', 'shote', 'knur', 'conjoiners', 'prosiak', 'łóżko_świnia', 'zhu_bajie', 'prosię', 'humber_pig', 'dzik_euroazjatycki', 'świntuch', 'świnka', 'sus_scrofa', 'sus_scrofa_domestica', 'wieprz', 'sus_domestica', 'dzik', 'niski_grubas', 'wieprzowina', 'klasa_ii_a', 'locha', 'prosiątko', 'wskaźnik_inspekcji_rurociągu', 'fv1611_pig', 'mięso_wieprzowe', 'porc', 'dziki_wieprz', 'czarny_zwierz']
plan	plan	Match	['plan_architektoniczny', 'zarządzania_programem', 'planu', 'marynarka_wojenna_chińskiej_armii_ludowowyzwoleńczej', 'plan', 'zaplanować', 'planować', 'series_1900', 'programu', 'zhōngguó_rénmín_jiěfàngjūn_hǎijūn', 'program', 'icl_1900', 'flota_chin', 'kierownik_programu']
plant	rośliny	Match	['floras', 'rośliny', 'flor', 'plantae', 'pole_d', 'zakład', 'linii_montażowej', 'trigun', 'linii_produkcyjnej', 'roślinność', 'taśma_produkcyjna', 'fabryki', 'lista_pojęć_związanych_z_wrestlingiem', 'słup', 'toraigan', 'linia_produkcyjna', 'zabudowa_przemysłowa', 'naganiacz', 'vegetabilia', 'factorij', 'linia_montażowa', 'taśma_montażowa', 'strefa_d', 'życie_roślin', 'nitka_produkcyjna', 'fabryka', 'roślin', 'archaeplastida', 'faktoria', 'flory', 'feitoria', 'zakład_przemysłowy', 'zakładów_produkcyjnych', 'plant', 'podbijania', 'roślina_zielna', 'flora', 'ustanowić', 'gatunki_roslin', 'zakład_produkcyjny', 'roślina', 'gatunków_roślin']
play	zagrać	Found close match: ['zagraj', 'grać', 'gra']	['play', 'android_market', 'zakłady', 'dokazywanie', 'dramaturg', 'play_na_kartę', 'występować', 'hazard', 'stageplay', 'gra_hazardowa', 'zakładać_się', 'nadchodzi4', 'migotać', 'psoty', 'patologiczny_hazard', 'gry', 'dramatopisarz', 'google_play_store', 'wolną_rękę', 'play_mobile', 'gra', 'play_fresh', 'google_music', 'google_play', 'google_muzyka', 'przynieść', 'zabawa', 'odgrywać', 'gry_hazardowe', 'grając_okres', 'grać', 'jazdy', 'pl_06', 'figle', 'harce', 'okres_gry', 'play_online_na_kartę', 'dramat', 'postawić', 'luz', 'swawola', 'brykać', 'baraszkować', 'play_store', 'szermierka', 'sztuka', 'play_online', 'manewr', 'zagraj', 'sztuka_teatralna', 'graj', 'teatralnej', 'sceny_dramatyczne', 'dramatyczna_gra', 'bawić_się', 'uruchomić']
pleasure	przyjemności	Match	['przyjemność', 'sondre_lerche', 'uciecha', 'semisonic', 'zachwyt', 'radość', 'rozkosz', 'przyjemności', 'frajda', 'pleasure_p']
poor	niedostatecznej	Found close match: ['niedostatek']	['wskaźnik_ubóstwa', 'głębokość_ubóstwa', 'ubogi', 'mortus', 'luka_dochodowa', 'niezamożność', 'niedostatek', 'zubożenie', 'biedne', 'ślub_ubóstwa', 'nędzarzy', 'biedni_ludzie', 'dobrowolnego_ubóstwa', 'ubóstwo', 'mizerny', 'biedna', 'nędzny', 'biedny', 'biedak', 'ubóstwa', 'bieda']
prison	więzienia	Match	['ubogi', 'tom_robinson', 'więzieniach', 'zakład_karny', 'medium_bezpieczeństwo', 'uwięziony', 'poprawczych_instytucji', 'areszt', 'więzieniu', 'więzienia', 'więzienie', 'ciasny', 'jailhouse', 'uwięzić']
professional	profesjonalny	Match	['wyszkolony', 'zawodowe', 'fachowy', 'specjalistów', 'kompetentny', 'wolny_zawód', 'profesjonalnie', 'kiss_land', 'mistrz', 'zawodowych', 'zawodowy', 'wyczynowiec', 'profesjonalna', 'profesjonalny', 'specjalistyczny', 'profesjonał', 'profesjonalne', 'profesjonalista', 'ekspertów', 'zawodowiec', 'kwalifikowany', 'zawodowe_osób', 'ekspert', 'zawodowych_sportowców', 'sport_zawodowy', 'wykwalifikowany', 'profesjonalizmu', 'o_profesjonalnym_wyglądzie']
protection	ochrona	Match	['protection', 'ochrony', 'schronienie', 'ochrona', 'pole_siłowe', 'osłona', 'bezpieczeństwo', 'obrona', 'auspicje', 'egida', 'asekuracja', 'bezpieczeństwa', 'haracz', 'ochrona_handlu']
quality	jakość	Match	['standard_życia', 'doborowy', 'timbral', 'cecha', 'charakter', 'tembr', 'timbre', 'przymiot', 'barwa_dźwięku', 'jakości', 'poziom_życia', 'dźwięk', 'wyborowy', 'barwę', 'barwy', 'quality', 'jakość']
reaction	reakcja	Match	['reakcja', 'reakcję_chemiczną', 'reakcji', 'reakcje', 'reakcja_oderwania', 'reaction', 'przemiana_chemiczna', 'reakcji_chemicznych', 'reakcja_chemiczna', 'odzew', 'reakcje_chemiczne', 'reakcja_prosta', 'reakcyjność', 'chemicznie', 'reagowanie']
read	przeczytać	Match	['przeczytać', 'czytanie', 'lektura', 'czytać', 'czytania', 'oddawanie_się_lekturze', 'read', 'uczyć_się', 'uczyć', 'czytaj', 'studiować', 'przeczytaj']
relationship	relacje	Match	['znajomy', 'stryjek', 'związek_rodzinny', 'pokrewieństwa_i_pochodzenia', 'bratowa', 'zięć', 'dziadkowie', 'świekier', 'związku', 'połączenie', 'grupy_zniżania', 'długoterminowych_relacji', 'system_pokrewieństwa', 'teść', 'pokrewieństwa', 'kuzynka', 'relacje_interpersonalne', 'członkowie_rodziny', 'związek_interpersonalny', 'szwagier', 'świekr', 'synowa', 'krewny', 'ludzka_relacja', 'stosunki', 'związek', 'wnuk', 'bratanica', 'świekra', 'nazwy_członków_rodziny', 'relacji_międzyludzkich', 'kuzyn', 'szwagierka', 'bratanek', 'szwagrowa', 'znajomość', 'powiązanie', 'relacji', 'stosunek', 'relacja_rodzinna', 'relacja', 'wnuczka', 'relacje', 'acquaintanceship', 'towarzystwa', 'relacja_genealogiczna']
religious	religijne	Match	['zakonnik', 'religijne', 'religijny', 'religijna', 'bogobojny', 'religia', 'pietystyczny', 'duchowny', 'religijnych']
residence	mieszkanie	Match	['życie', 'mieszkania', 'siedlisko', 'mieszkanka', 'mieszkańca', 'habitant', 'rezydencji', 'lokum', 'mieszkańców', 'chałupa', 'dach_nad_głową', 'rezydencja', 'domu', 'domostwo', 'dom_mieszkalny', 'dwór', 'dach', 'dom', 'miejsce_zamieszkania', 'rezydent', 'prywatnej_rezydencji', 'mieszkaniec', 'budynek_mieszkalny', 'własny_kąt', 'residencia', 'chata', 'miejsce', 'siedziba', 'zamieszkania', 'kąt', 'mieszkań', 'sadyba', 'mieszkanie']
road	droga	Match	['the_road', 'ruch_obywatelski_akcja_demokratyczna', 'groble', 'drodze', 'drogowy', 'droga', 'road', 'droga_samochodowa', 'away_game', 'drogi', 'budowy_dróg', 'gra_droga', 'new', 'wyjazdowym_meczu']
sad	smutno	Match	['smutek', 'depresja_sezonowa', 'smutno', 'smutne', 'smutny', 'lost_dogs', 'cadi', 'smutna', 'sadhe', 'choroba_afektywna_sezonowa', 'sezonowe_zaburzenia_afektywne', 'smęt', 'depresja_zimowa', 'sezonowe_zaburzenie_nastroju', 'depresja_jesienna']
science	naukoznawstwa	Incorrect	['umiejętności', 'dyscyplina_naukowa', 'nauki', 'discovery_science', 'głównego_nurtu_nauki', 'dyscypliny_naukowej', 'science_channel', 'nauka', 'science', 'discovery_scitrek']
seafood	mięs	Not found	[]
sell	sprzedać	Match	['lista_pojęć_związanych_z_wrestlingiem', 'sprzedać', 'handlu', 'zdradzić', 'sprzedawać', 'wydać', 'handelek', 'handel', 'handlu_morskiego', 'sell']
sew	bieliznę	Not found	[]
sexy	sexy	Match	['sexy', 'elephunk', 'seksowny', 'zmysłowy']
shape	kształt	Match	['forma_muzyczna', 'sylwetka', 'formy_muzycznej', 'formacji_wm', 'naczelnego_dowódcy_w_europie', 'postać', 'modelować', 'formować', 'kształtu', 'kształtować', 'ciała', 'prymityw', 'wzór', 'wzorzec_projektowy', 'ciało_ludzkie', 'określić', 'wygląd', 'ciało_fizyczne', 'figura', 'forma', 'definicja', 'supreme_headquarters_allied_powers_europe', 'wzorzec', 'bod', 'mourvèdre', 'ciało_człowieka', '433', 'shape', 'kondycja', 'fizjologii_człowieka', 'anatomii_człowieka', 'pigmentacji_skóry', 'fizjologia_człowieka', 'ludzkie_ciało', 'kształt', 'soma', 'prymitywne', 'materialne_ciało']
ship	skipet	Incorrect	['wysłać', 'okręt', 'statków', 'statek', 'jednokadłubowiec', 'statkiem', 'statku', 'statek_wodny']
show	show	Match	['zakłady', 'hazard', 'gra_hazardowa', 'wyrazić', 'show', 'patologiczny_hazard', 'świadczyć', 'przestawiać', 'pokaż', 'wykazać', 'pokaz', 'zaświadczać', 'odmalować', 'udowadniać', 'pokazu', 'popis', 'gry_hazardowe', 'festynach', 'zeznawać', 'pokazywać', 'udowodnić', 'ustalić', 'koncert', 'dowodzić', 'pokazać', 'county_fair']
sign	znak	Match	['planetarny_dom', 'brown_eyed_girls', 'semiotyki', 'przepowiednia', 'semiotycznej', 'semiologia', 'elektroujemny', 'semiotyka', 'znak_matematyczny', 'znak', 'omen', 'domu', 'sygnalizacja_telekomunikacyjna', 'auspicjami', 'elektroujemność', 'podpisane', 'auspicjum', 'preindication', 'wróżba', 'skala_allreda', 'podpisz', 'semiologii', 'signage', 'pismo_ideograficzne', 'symbol_graficzny', 'elektroujemności', 'wróżbą', 'auspicja', 'symbol_matematyczny', 'sygnał', 'skala_paulinga', 'elektronegatywność', 'skala_mullikena', 'obraz_kliniczny', 'sygnalizacja', 'outofband_sygnalizacji', 'elektrododatnich', 'zwiastun', 'grafemy', 'podpisać', 'znak_zodiaku', 'oznaka', 'nieujemne', 'cecha', 'szyld', 'auspicia', 'przeczucie', 'mig', 'znak_językowy', 'grafem']
silly	głupie	Match	['głuptasek', 'głuptaś', 'głupie', 'głupota', 'silly', 'niemądry', 'nieinteligentny', 'głupstwo', 'tępogłowy', 'głupi', 'bezrozumny', 'nonsensicality', 'nierozumny', 'bezsensowne', 'hokum', 'głupi_durny_tępy_tępogłowy_zakuty_durnowaty', 'brednia', 'tępy', 'bezsens', 'bzdura', 'androny', 'głuptas', 'banialuka', 'nonsens', 'austriackie_gadanie']
sin	grzechu	Match	['języku_sinhala', 'sin', 'grzeszyć', 'syngalezka', 'zgrzeszyć', 'port_lotniczy_singapurchangi', 'język_syngaleski', 'sinhala', 'port_lotniczy_changi', 'grzeszność', 'grzech', 'grzesznik', 'suen', 'przewina', 'grzeszne', 'nanna', 'grzech_uczynkowy', 'syngalez', 'singapore_changi_airport', 'syngaleski_język', 'grzechy', 'występek', 'shin', 'grzechem', 'funkcji_sinus', 'sinus', 'grzechu', 'lotnisko_changi']
skin	skóry	Match	['day_for_night', 'odkorowanie', 'skinnable', 'almost_human', 'ray_of_light', 'płytka', 'skóra', 'płytka_drukowana', 'dodatek', 'deborah_dyer', 'skin', 'obwód_drukowany', 'dom_obłąkanych', 'addon', 'the_world_of_skin', 'karta_układ', 'skórę', 'blender', 'komórek_skóry', 'skórka', 'kompozycja', 'szpital_psychiatryczny', 'skóry', 'cutis', 'okorowanie', 'łusek', 'deborah_anne_dyer', 'wariatów', 'dom_wariatów', 'płytka_obwodu_drukowanego', 'wariatkowo', 'skórki', 'karta', 'psychiatrycznym', 'r_kelly', 'australijskich_aborygenów_pokrewieństwa', 'budowa_skóry', 'wtyczka', 'robert_sylvester_kelly', 'plugin', 'psychicznego_domu', 'nakrywka']
smart	inteligentne	Match	['lista_pojęć_związanych_z_wrestlingiem', 'lotny', 'mądry', 'smart', 'elegancki', 'bezczelny', 'pojętny', 'pieczenie', 'inteligencja', 'inteligencji', 'mądra', 'inteligentny', 'inteligentne', 'zuchwały', 'technologia_smart', 'mądrze']
smiling	uśmiechnięty	Found close match: ['uśmiechnięte', 'uśmiechnięta', 'uśmiech']	['uśmiechając', 'uśmiechnięta', 'szeroki_uśmiech', 'uśmiech', 'uśmiechnięte']
solution	rozwiązanie	Match	['rozwiązywanie_równań', 'roztworu', 'roztwór', 'wynik', 'rozwiązywania_problemów', 'rozwiązania', 'mieszaniny_jednorodne', 'mieszanina_jednorodna', 'odpowiedź', 'rozwiązanie', 'solution']
soul	soul	Match	['śmiertelny', 'persona', 'wele', 'jednostka', 'śmiertelniczka', 'istota_ludzka', 'wela', 'serce', 'ktoś', 'osoba_fizyczna', 'przedmiot_jednostkowy', 'soul', 'dusze', 'osoba', 'psychika', 'indywiduum', 'dusza', 'istota_rozumna', 'człowiek', 'psyche', 'aiúa', 'śmiertelnik', 'nieśmiertelnej_duszy', 'duch', 'duszę', 'duszy', 'duchowość', 'nerwy', 'uduchowienie']
sound	dźwięk	Match	['dźwięki_słyszalne', 'rozchodzenie_się_dźwięku', 'słuchowe_wrażenie', 'fali_akustycznej', 'fale_akustyczne', 'telefon', 'barwa', 'głoski', 'cieśnina', 'głos', 'fala_dźwiękowa', 'dźwięki', 'sound', 'fali_dźwiękowej', 'zasadny', 'ton', 'brzmienie', 'tecnocumbia', 'fale_dźwiękowe', 'dźwięku', 'dźwięk_mowy', 'uzasadniony', 'odgłos', 'sensowny', 'głoska', 'moralny', 'fala_akustyczna', 'fale_sprężyste', 'dźwięk', 'fonia']
spoke	mówił	Not found	[]
star	gwiazda	Match	['gwiazdy', 'gwiazdka', 'czarodziej', 'sławną_osobą', 'estelle', 'tarball', 'mavin', 'sława', 'ilean_almaguer', 'asterysk', '★', 'star_tv', 'headliner', 'wymiatacz', 'celebryci', 'sieci_star', 'adept', 'mullet', 'superstar', 'targz', 'gwiazda', 'maven', 'gwiazda_filmowa', 'air', 'celebrytka', 'najwybitniejszej_aktorki', 'celebryt', 'gwiezdne', 'pięciogwiazdkowy_hotel', 'osobowość_telewizyjna', 'wielokąt_gwiaździsty', 'topologii_gwiazdy', 'star', 'topologia_gwiazd', 'popstar', 'xerox_star', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'hotshot', 'pierwsza_gwiazdka', 'gwiazd', 'macierz_bcg', 'świst', 'gwiazd_filmowych', 'celebrities', 'celebryta', 'topologia_gwiazdy', 'estelle_swaray', 'tar']
student	studentów	Match	['uczony', 'scholar', 'księgarz', 'uczennica', 'księgarzy', 'księgarskiej', 'uczeń', 'księgarni', 'studentów', 'studentka', 'uczony_człowiek', 'żak', 'księgarnia', 'studenci', 'educatee', 'christ_church_w_oksfordzie', 'christ_church', 'student', 'william_sealy_gosset', 'uczonych']
stupid	głupi	Match	['okład_wilgotny_z_lekiem', 'głupoty', 'głupota', 'pillock', 'głupie', 'półgłupek', 'ograniczenie', 'kretyn', 'ravensymone', 'bezmózg', 'nudziarz', 'niemądry', 'pustogłów', 'nieinteligentny', 'tępogłowy', 'głupi', 'barania_łąka', 'tępak', 'ptasi_móżdżek', 'idiotyzm', 'przygłup', 'dureń', 'słaba_ryba', 'bezmózgowiec', 'półgłówek', 'puddenhead', 'kurzy_móżdżek', 'baran', 'pustak', 'głupi_durny_tępy_tępogłowy_zakuty_durnowaty', 'ciemniak', 'głupek', 'tępy', 'głąb_kapuściany', 'kretynizm', 'ćwok', 'bałwan', 'tępota', 'głowa_budyń', 'idiota', 'głupi_człowiek']
successful	sukcesem	Incorrect	['successful', 'udanych', 'udana', 'udany', 'udane']
sugar	cukru	Match	['kieszeń', 'rafinowany_cukier', 'sugar', 'cukrowce', 'glassheart', 'simoleons', 'węglowodan', 'dinero', 'cukier_spożywczy', 'szekli', 'słodzić', 'moolah', 'gelt', 'poziom_cukru', 'posłodzić', 'cukier', 'węglowodanów', 'batman_forever', 'handlu_cukrem', 'sacharyd', 'cukrów', 'sacharydy', 'cukry_jadalne', 'cukry', 'cukru', 'cukier_jadalny', 'kostki_cukru', 'małże', 'cukrów_w_winie', 'węglowodany', 'forsa', 'cukrem', 'bogactwo']
suspect	podejrzenia	Found close match: ['podejrzewać', 'podejrzany', 'podejrzana']	['podejrzany', 'nieufność', 'podejrzewać', 'osoba_podejrzana', 'podejrzanego', 'podejrzana', 'robert_crais', 'podejrzliwość', 'pozwany', 'podejrzanych', 'oskarżonych', 'nieufności', 'oskarżony']
table	tabelce	Found close match: ['tabeli', 'tabela', 'tablica']	['rezonansowa', 'mesas', 'tabela', 'iframe', 'odroczyć', 'stolik', 'wyszukiwania', 'odnośnika', 'elementu_html', 'stoliwo', 'tabular_array', 'tag', 'odroczenia', 'wyszukiwanie', 'tepui', 'stole', 'góra_stołowa', 'tabeli_bazy_danych', 'odłożyć', 'opóźnienie', 'lookup_table', 'stół', 'diagram', 'tag_html', 'href', 'mesa', 'arkusz_danych', 'element_html', 'lookup', 'relacji', 'tabeli', 'tablicowanie', 'tablica']
taste	smaku	Match	['preferencji', 'smaku', 'podniebienie', 'smakowite', 'smakowe_percepcja', 'ślepej_degustacji', 'smak', 'degustacja_wina', 'wzmacniacz_smaku', 'gust', 'zmysł_smaku', 'degustacje_wina', 'próbować', 'smakować', 'percepcja_smaku', 'taste', 'smakowe', 'środek_smakowy', 'smakowe_sensacja', 'upodobanie', 'kosztować', 'skłonność', 'preferencja', 'degustacja', 'nowhere', 'naturalne_aromaty', 'degustacji_wina', 'smakowe_modalność', 'czuć', 'smaki']
team	drużyna	Match	['kapela', 'rock_band', 'zespół', 'drużyny_sportowej', 'zespół_rockowy_pop', 'zespołów_rockowych', 'grupa_muzyczna', 'artysta_solowy', 'sport_drużynowy', 'zaprzęg', 'drużyna_sportowa', 'zespół_instrumentalny', 'sport_zespołowy', 'team', 'zespół_muzyczny', 'drużyny', 'grupa_rockowa', 'formacja_muzyczna', 'grupa', 'ekipa', 'zespół_sport', 'drużyna', 'komórka_robocza', 'solowy_projekt', 'zaprząg', 'zespół_jazzowy']
texture	tekstury	Match	['faktura_dzieła_sztuki', 'musical_tekstury', 'smakowe', 'tekstury', 'makrostruktury', 'faktura', 'tekstura_krystaliczna', 'mapowania_tekstur', 'struktura', 'teksturowanie', 'faktura_muzyczna', 'tekstura_skały']
time	czasu	Match	['timeless', 'zegar', 'kosmologicznej_czasu', 'czasów', 'czasie_walca', 'prostym_czasie', 'sekwencji_zdarzeń', 'scatmans_world', 'in_my_own_words', 'zegar_systemowy', 'time_magazine', 'dwudzielny', 'metrum', 'time_has_come_today', 'czas_gramatyczny', 'ojciec_czas', 'musical_metrum', 'odsiadka', 'taktowanie', 'czasu', 'napięta', 'chronometrować', 'polymeter', 'zegar_czasu', 'gmina_time', 'czas', 'y_not', 'napięty', 'chronologia_wszechświata', '24_czasu', 'godzina', '68_czasu', 'xkcd_1190', 'the_time', 'żarówki', 'dead_ball', 'termin_więzienie', 'anastacia', 'hypnotica', 'czwarty_wymiar', 'wczesnym_wszechświecie', 'smartstop', 'kolej', 'cykl_zegara', 'czasu_t', '44', 'więzienie', 'pacific_ocean_blue', 'częstotliwość_cyklu_zegarowego', 'cyklu_zegara', 'czasu_systemowego', 'impuls_zegarowy', 'cykli_zegara', '44_czasu', 'raz', 'time', '128', 'wieki_ciemne', 'jednostka_metryczna', 'czasie_związku', 'pora']
tool	narzędzie	Match	['fiut', 'trzonek', 'narzędzia', 'narzędzie_programistyczne', 'instrument', 'narzędzi_programistycznych', 'lachrymologia', 'kutas', 'lacha', 'chuj', 'narzędzie', 'narzędzi', 'wał', 'pała', 'tool', 'pyta', 'koń', 'lakrymologia']
toy	zabawka	Match	['efekt_kociego_oka', 'płeć_zabawka', 'toy', 'zabawek_erotycznych', 'miniaturka', 'zabawka', 'zabawki', 'akcesoria_seksualne', 'port_lotniczy_toyama', 'chatoyancy', 'pies_ozdobny', 'miniatura', 'bawidełko', 'zabawkę', 'yello', 'toyline', 'bawidło', 'chatoyant', 'akcesoria_erotyczne', 'pies_zabawka']
tree	drzewa	Match	['drzewo', 'korzeń_drzewa', 'tree', 'drzew', 'charlotte_brontë', 'kultu_drzewa', 'schemat_drzewa', 'święte_drzewo', 'sir_herbert_beerbohm_drzewo', 'węzeł_wewnętrzny', 'dendryt', 'liść_drzewa', 'węzła_nadrzędnego', 'węzeł_nadrzędny', 'poddrzewo', 'zakorzenione_drzewo', 'węzeł_liścia', 'las', 'drzewa', 'drzewko', 'herbert_beerbohm_tree', 'charlotte_bronte']
trial	wyrok	Incorrect	['paucal', 'próbny', 'przyczyny', 'iii', 'przedprocesowego', 'systemie_przyczyną', 'tercet', 'goliath', 'liczby', 'pozwał', '3', 'deuceace', 'tři', 'proces', 'proces_sądowy', 'liczba_potrójna', 'trójka', 'umowa_numer', 'pozew', 'przewód_sądowy', 'sprawie_cywilnej', 'eksperymentu', 'przyczynowości', 'próba', 'trzy', 'doświadczenie_losowe', 'rozprawa_sądowa', 'postępowanie', 'sprawdzian', 'testowanie', 'potrójny', 'liczba', 'troisty', 'przypadek', 'sprawa', 'rozprawa', 'przyczynowość', 'teście', 'ternion', 'sporu_prawnego', 'sądzonych', 'postępowanie_sądowe', 'testu', 'pozew_sądowy', 'powództwo', 'boleść', 'próbował', 'causa']
tried	próbował	Match	['proces', 'proces_sądowy', 'rozprawa_sądowa', 'próbowałeś', 'próbował', 'próbowałem', 'rozprawa', 'przewód_sądowy']
typical	typowe	Match	['normalny', 'typowa', 'zwyczajny', 'typowo', 'typowy', 'gatunkowy', 'rodzajowy', 'typowe', 'zwykły']
unaware	dowiaduje	Incorrect	['nieświadoma', 'nieświadomy']
usable	użyteczne	Match	['użyteczność', 'przyjazny_dla_użytkownika', 'działający', 'używalny', 'użyteczne', 'usability']
useless	bezużyteczne	Match	['bezpożyteczny', 'bezużyteczne', 'nadmiarowy', 'nieprzydatny', 'zbyteczny', 'bezpotrzebny', 'niepotrzebny', 'bezużyteczny', 'zbędny', 'useless']
vacation	wakacje	Match	['wakacje', 'wywczasy', 'absencja_pracownicza', 'feriae', 'wakacji', 'w_nowym_zwierciadle_wakacje', 'ferie', 'urlop']
war	wojny	Match	['hap_i_leonard', 'the_war', 'język_warajski', 'stan_wojny', 'ares', 'wojnę', 'walka', 'podział_wojen', 'rodzaje_wojen', 'warajski', 'konfliktów_zbrojnych', 'wojna', 'konfliktu_zbrojnego', 'bój', 'język_waraywaray', 'wojen', 'war', 'all_or_nothing', 'wojny', 'język_waray_waray']
wash	mycia	Match	['buried', 'myć', 'arroyo', 'parów', 'the_wash', 'lavation', 'mycia', 'washables', 'praczki', 'mycie', 'prania', 'lawowanie', 'unearthed', 'scan', 'umyć_rysunek', 'wymywanie', 'pranie', 'lost_dogs', 'wyschnięcia_umyć', 'the_wash_hiphopowa_myjnia', 'strumieniu', 'umyć', 'śladzie', 'prać']
weak	słabe	Match	['słaba', 'słabe', 'astenia', 'słaby', 'osłabienie_mięśni', 'słabo', 'osłabienie', 'the_sea']
wear	noszono	Incorrect	['zużycie_ścierne', 'zwrot_przez_rufę', 'ubranie', 'odporność_na_ścieranie', 'strój', 'odzieży_damskiej', 'przemysłu_odzieżowego', 'załóż', 'habiliment', 'szata', 'konfekcja', 'ciuch', 'wiatrem', 'ubiór', 'zdatny_do_noszenia', 'ścieranie', 'ubrania', 'odzienie', 'nosić', 'odzież', 'odzieży', 'wear']
weather	pogodowe	Found close match: ['pogody', 'pogoda', 'warunki_pogodowe']	['warunków_pogodowych', 'pogoda', 'prognoza_pogody', 'prognozy_pogody', 'pogódka', 'warunkach_atmosferycznych', 'pogody', 'elementy_meteorologiczne', 'warunki_atmosferyczne', 'warunki_pogodowe']
willingly	dobrowolnie	Match	['dobrowolnie']
word	słowa	Match	['chrześcijańskiego_pisma', 'syneczek', 'hasło', 'biblia', 'pan_jezus', 'pantokrator', 'dyskusji', 'verbum', 'syn', 'baranek_boży', 'slowo', 'słów', 'słowo_podwójne', 'wyraz', 'nazarejczyk', 'syna', 'rozmiar_tekstu', 'obietnica', 'ms_word', 'oword', 'synuś', 'chrystus', 'microsoft_word', 'biblii', 'dysputacja', 'zobowiązanie', 'biblia_chrześcijańska', 'słowo_honoru', 'słowo_poczwórne', 'debata', 'długość_słowa', 'święta_księga', 'jezus_nazarejczyk', 'biblii_chrześcijańskiej', 'word', 'dysputa', 'słowo', 'jezus_chrystus', 'leksem', 'dyskusja', 'słowa', 'biblijny', 'teksty_religijne', 'mesjasz', 'pisma_świętego', 'nazareńczyk', 'galilejczyk', 'świętych_tekstów', 'długości_słowa', 'słowo_maszynowe', 'parol', 'dword', 'dqword', 'wieści', 'słowo_danych', 'dobry_pasterz', 'pismo_święte', 'syn_boży', 'debatowanie', 'hasła', 'zbawiciel', 'synek', 'szerokość_słowa', 'qword', 'kod_dostępu', 'doc', 'good_book', 'święte_księgi', 'jezus', 'jezus_nazareńczyk', 'logos']
