all	svi	Match	['limfocitna_leukemija', 'univerzalni_kvantifikator', 'potpuno', 'limfatička_leukemija', 'akutne_limfocitne_leukemije', 'sve', 'all', 'univerzalna_zatvaranje', 'akutne_limfoblastične_leukemije', 'uopce', 'akutna_limfatična_leukemija', 'svi', 'akutna_limfocitna_leukemija']
and	i	Not found	[]
animal	životinja	Match	['faune', 'animirati_bića', 'far_east_movement', 'stvorenje', 'fauna', 'životinjski', 'animalia', 'životinje', 'životinja', 'infauna', 'metazoans', 'epifaunal', 'životinjski_svijet', 'animal', 'biljaka', 'reality_check', 'epifauna', 'makrofaune', 'wasp']
ashes	pepeo	Match	['post_mortem', 'pepeo', 'ashes']
at	na	Not found	[]
back	natrag	Match	['vertebra', 'dorsum', 'unutar_centra', 'kičmene_moždine', 'natrag', 'voziti_unatrag', 'back', 'lijevo_natrag', 'lijevonatrag', '백', 'rachis', 'poduprijeti', 'leđa', 'podrzavaju', 'knjiga_obvezujuća', 'flyhalf', 'poleđina', 'branič', 'flypola', 'podrži', 'kralježnica', 'kralježnice', 'voziti_u_rikverc', 'izvan_centra', 'kralješnica', 'biti_straga', 'prvih_petosmi', 'biti_u_pozadini', 'naslon', 'sekundirati', 'tighthead_rekvizit', 'pozadina', 'naličje', 'obrana', 'naslon_za_leđa', 'ići_unatrag', 'podupirati', 'stražnji_dio', 'kralježaka', 'columna_vertebralis']
bad	loše	Match	['zlo', 'loša', 'pokvaren', 'royce_da_59', 'zloća', 'negativan', 'bad', 'bcl2povezane_smrti_promotor', 'truo', 'zloću', 'neprikladan', 'lose', 'pokvarenost', 'slab', 'loš', 'loše', 'bad_world_tour', 'big_audio_dynamite', 'iskvarenost', 'zloba', 'zla', 'zao', 'neispravnost']
bark	stabljikama	Incorrect	['brod_sa_tri_jarbola', 'izderati_se', 'otresati_se', 'izvikivati_se', 'izvikati_se', 'bark', 'kora', 'derati_se', 'zalajati', 'lajati', 'kore', 'kore_drveta', 'otresti_se', 'periderm', 'iljušin_il2']
because	jer	Match	['jer', 'because']
belly	trbuh	Match	['stomak', 'trbuh', 'abdominals', 'belly', 'trbušne_mišiće', 'abdomen', 'ljudskog_trbuha', 'burag', 'izbočiti_se', 'trbuha']
big	veliki	Match	['zreo', 'samohvalisav', 'velikodušan', 'velika', 'čuven', 'obiman', 'velik', 'velike', 'bjarke_ingels_group', 'voća', 'stypsis', 'jak', 'plemenit', 'istaknut', 'krupan', 'sazreo', 'znamenit', 'veliko', 'snažan', 'bouquet', 'širokogrudan', 'big', 'glasovit', 'ugledan', 'mineralnost', 'tijelo', 'veliki', 'buke', 'odrastao', 'norm_nixon']
bird	ptica	Match	['meso_peradi', 'ptica', 'yardbird_parker', 'charlie_parker', 'charles_christopher_parker', 'razzing', 'ptice', 'avifauna', 'razz', 'bird_parker', 'zviždati', 'bird', 'djevojka', 'avafauna', 'prst', 'aves', 'loptica', 'bronx_razveseliti', 'roosting', 'mikuni_shimokawa']
bite	ugrize	Found close match: ['ugriz', 'ugrizi', 'ugriza']	['pregristi', 'zagrizati', 'ugrizati', 'nagristi', 'ugriza', 'dvospecifične_tstanica_engager', 'odgristi', 'ugriz', 'opor', 'ugristi', 'zagristi', 'duhovit', 'zalogaj', 'chomp', 'pregrizati', 'ugrizi', 'užina', 'opeći', 'ubod', 'izujedati', 'steven_hassan', 'griz', 'ubosti', 'zajedljivost', 'ujesti', 'ubod_kukca', 'ujedati', 'gristi', 'zakuska']
black	bijele	Found close match: ['bijeli', 'boje']	['boja', 'crna_žena', 'crne_žene', 'boje', 'crni_čovjek', 'crno_afrička', 'final_fight_3', 'ukupna_mrak', 'crna_boja', 'black', 'negroid', 'ostalih_utrka', 'negroidi', 'shirley_temple', 'crnina', 'crna_kava', 'crnca', 'afričkog_podrijetla', 'negroids', 'lightlessness', 'sličan_crncu', 'ocrniti', 'parcele_crnilo', 'crno', 'crna', 'negroidne', 'final_fight', 'taio_cruz', 'mrak', 'shirley_temple_crna', 'crnac', 'tama', 'planeswalker', 'negro', 'kari_kimmel', 'crnci', 'latino', 'tmina', 'bijeli', 'crn', 'azijski', 'inkiness', 'magic_the_gathering', 'crne', 'pocrniti', 'boji_znanosti', 'joseph_black', 'crno_osoba', 'crni']
blood	krvi	Match	['obitelj', 'blood', 'soj', 'ljudskom_krvlju', 'rakehell', 'loza', 'genetskog_nasljeđivanja', 'bordeaux_vino', 'potomstvo', 'kisikom_krvi', 'krv_linija', 'bordeaux', 'kainah', 'porod', 'hematoloških', 'krvi', 'vs', 'rod', 'nasljeđe', 'nasljedstvo', 'persistence_of_time', 'biološkog_nasljeđivanja', 'naslijeđe', 'bordeaux_vina', 'loze', 'ljudske_krvi', 'raskalašnik', 'collective_soul', 'sanguis', 'the_black_parade', 'krv', 'getting_away_with_murder']
blow	udariti	Found close match: ['kvariti', 'pokvariti', 'udarac']	['otplutati', 'zbrljati', 'proćerdati', 'fućkati', 'dolebdjeti', 'zbunjivati_se', 'hvalisati_se', 'kiksati', 'pokvariti', 'udarac', 'pištati', 'protratiti', 'traćiti', 'hvastati_se', 'odlebdjeti', 'zabuniti_se', 'producirati_se', 'stratiti', 'prtljati', 'lebdjeti', 'prepreka', 'nalet', 'pogriješiti', 'straćiti', 'pušiti', 'puhati', 'napuhavati', 'kvariti', 'razmetati_se', 'uništiti', 'ploviti', 'prčkati', 'uprskati', 'rasipati', 'šok', 'protepsti', 'rasuti', 'vijoriti', 'tratiti', 'napuhati', 'preturati', 'nos_bombona', 'zafrknuti', 'brljati', 'upropastiti', 'fušati', 'petljati', 'upropaštavati', 'sfušati', 'smetnja', 'fićukati', 'packati', 'trubiti', 'letjeti', 'spiskavati', 'pregorjeti', 'duhati', 'rastepsti', 'spetljati', 'ćerdati', 'uprskavati', 'buniti_se', 'zviždati', 'uništavati', 'spiskati', 'griješiti', 'blow', 'doplutati', 'razbacivati_se', 'sprtljati', 'protraćiti', 'potratiti', 'šepiriti_se', 'spackati', 'plutati', 'sprčkati']
bone	kostiju	Found close match: ['kosti', 'kost', 'sustav_kostiju']	['koštane', 'def_jam_recordings', 'bjelokosti', 'nije_čisto_bijele_boje', 'štrebati', 'slonovače', 'sustav_kostiju', 'bone', 'kost', 'koštano_tkivo', 'kosti']
breast	dojke	Match	['mamma', 'bijelo_meso', 'pectus', 'titty', 'dojka', 'karcinoma_dojke', 'raka_dojke', 'prsnog_koša', 'cica', 'rak_dojke', 'grudi', 'the_breast', 'prsa', 'sise', 'sisa', 'toraks', 'prsni_koš', 'dojke']
breathe	disanje	Found close match: ['disati']	['do_posljednjeg_daha', 'predahnuti', 'pisnuti', '1159', 'kristof_konrad', 'time', 'a_class', 'zračiti', 'disati', 'pokazivati', 'breathe', 'odisati', 'the_dark_side_of_the_moon', 'odmoriti_se', 'iempire', 'funeral_for_yesterday', 'emitirati', 'zucnuti']
burn	zapaljenje	Incorrect	['eritem_solare', 'fc_dallas', 'ispaliti', 'zapaliti', 'spaljivati', 'izgori', 'vodotok', 'plamtjeti', 'vodeni_tok', 'potoci', 'plamen', 'potpaljivati', 'užeći', 'spali_trag', 'spržiti', 'drugi_stupanj_spali', 'spaliti', 'potok', 'tok', 'burn', 'upaliti', 'ispaljivati', 'izgarati', 'požar', 'tan', 'žeći', 'sažeći', 'ugristi', 'goreći', 'sažigati', 'sagorijevati', 'izgorjeti', 'opeći_se', 'treći_stupanj_spali', 'potpaliti', 'opeklina', 'žgati', 'zapaljivati', 'opekotina', 'opržiti', 'spali', 'užgati', 'opeći', 'gori', 'vatra', 'sažgati', 'opekline_trećeg_stupnja', 'ruisseau', 'gorjeti', 'potocima', 'ubosti', 'preplanulost', 'opekline', 'sagorjeti', 'pržiti', 'kiptjeti', 'kauterizirati', 'paliti', 'potočić', 'zapaliti_se', 'upaljivati']
child	dijete	Match	['maloljetnik', 'djetinjstvo', 'tiddler', 'djete', 'kćerka', 'klinac', 'kćeri', 'kći', 'djece', 'dječje', 'kćer', 'djeca', 'lenfant', 'dete', 'dijete', 'predlakavi', 'mališan', 'dječak']
cloud	oblake	Found close match: ['oblak', 'oblakbased', 'oblak_usluge']	['kiba', 'cloud_infrastrukture', 'oblaci', 'oblak_usluge', 'roj', 'oblak_hosting', 'infrastrukture_kao_usluge', 'zamagliti', 'zamagljivati', 'pomračiti', 'cloud_computing', 'javni_oblak', 'pomutiti', 'pomračivati', 'oblak', 'cloud_strife', 'cloud', 'zamućivati', 'išarati', 'rojenje', 'jato', 'zamračiti', 'zamutiti', 'zamračivati', 'pomućivati', 'cloud_usluge', 'oblakbased']
cold	hladni	Found close match: ['hladno', 'hladna', 'hladan']	['hladan', 'kopb', 'nicole_prescovia_elikolani_valiente_scherzinger', 'ravnodušan', 'kronična_opstruktivna_plućna_bolest', 'nazeb', 'obična_prehlada', 'nazofaringitis', 'hunjavica', 'cold', 'craig_david', 'hladno', 'studen', 'hladna', 'prehlade', 'niska_temperatura', 'nicole_scherzinger', 'kronične_opstruktivne_plućne_bolesti', 'prehlada', 'hladnoća', 'nahlada']
come	dolaziš	Found close match: ['dolaziti', 'dolaze']	['prilaziti', 'dopirati', 'doseći', 'postizati', 'stizati', 'dođi', 'sperma', 'sjemena_tekućina', 'iznositi', 'dokučiti', 'ejakulirati', 'doprijeti', 'vrijediti', 'učiniti', 'približavati_se', 'dostizati', 'comé', 'postići', 'stići', 'dokučivati', 'potjecati', 'pristići', 'dostići', 'pristignuti', 'dolaziti', 'come', 'dolaze', 'ejakulat', 'doputovati', 'dohvatiti', 'doći', 'sjemene_tekućine', 'prispjeti', 'sjeme', 'približiti_se', 'svratiti', 'stignuti', 'hvatati', 'dosizati', 'pristizati', 'dosegnuti', 'prići']
correct	ispravno	Found close match: ['ispravi', 'ispraviti', 'prav']	['popraviti', 'ispravljati', 'ispravi', 'namjestiti', 'iskupljivati_se', 'podešavati', 'ispraviti', 'kompenzirati', 'urediti', 'namještati', 'pravu', 'popravljati', 'uređivati', 'podesiti', 'korigirati', 'prilagođavati', 'nadoknaditi', 'usklađivati', 'prav', 'nadoknađivati', 'točan', 'prilagoditi', 'iskupiti_se', 'uskladiti']
count	grof	Match	['brojiti', 'zbroj', 'grofovska', 'važiti', 'nabrojati', 'nabrajati', 'pobrajati', 'važno', 'prebrojati', 'pobrojati', 'računati_se', 'grofovija', 'suma', 'broj', 'countship', 'jarl', 'earls', 'vrijediti', 'izbrojati', 'popis', 'pobrojavati', 'earl', 'prebrojavati', 'grofovi', 'računajući', 'značiti', 'grof_monte_cristo', 'brojati', 'sql', 'punom_računati', 'pobrojiti', 'nabrojiti', 'zbir', 'broji', 'comtesse', 'grof', 'popisivanja', 'brojati_se', 'structured_query_language', 'računati', 'brojevni_sustav', 'izbrojiti']
cut	odreže	Not found	[]
day	dan	Match	['sunčev_dan', '24satni_interval', 'prilika', 'danje_svjetlo', 'znači_sunčev_dan', 'dnevnih', 'srednji_sunčani_dan', 'dvadeset_četir_sata', 'day', 'dana', 'doba', 'era', 'siderični_dan', 'dvadeset_četiri_sata', 'clarence_day', 'sinodički_dan', 'siderički_dan', 'solarni_dan', 'ddan', 'sideralni_dan', 'clarence_shepard_dan_jr', 'zvjezdani_dan', 'duljine_dana', 'šansa', 'dan']
die	zeit	Incorrect	['izdahnuti', 'pokvariti_se', 'skončati', 'kockica', 'kvariti_se', 'smrti', 'preminuti', 'prerane_smrti', 'čip', 'umirati', 'umri', 'izblijedjeti', 'umro', 'crknuti', 'skončavati', 'umrijeti', 'smrt', 'kocke', 'kockice', 'kocka', 'krepati', 'die', 'poliedarskih_kocke']
dig	iskopati	Match	['piknuti', 'razumijevati', 'uviđati', 'arheološki_lokalitet', 'kopati', 'robijati', 'skužiti', 'kulučiti', 'čeprkati', 'izdubiti', 'upiknuti', 'nabosti', 'dig', 'podbadati', 'iskopina', 'kužiti', 'zabosti', 'bocnuti', 'shvati', 'dokučiti', 'shvaćati', 'uvidjeti', 'kopanje', 'dirinčiti', 'pikati', 'dubiti', 'razumjeti', 'izdubljivati', 'dokučivati', 'podsmijeh', 'iskop', 'zarinuti', 'zarivati', 'zabiti', 'bosti', 'ruganje', 'crnčiti', 'iskapati', 'bockati', 'zariti', 'rintati', 'zabadati', 'iskopavati', 'pojmiti', 'poimati', 'arheološko_nalazište', 'štihati', 'raditi', 'ubadati', 'ubosti', 'mučiti_se', 'iskopati', 'prokužiti', 'nabadati', 'podbosti', 'prekopati', 'shvatiti', 'probosti', 'probadati', 'prekopavati', 'rinuti', 'zabijati']
dirty	prljavi	Match	['blatiti', 'ukaljati', 'okaljati', 'zemlja', 'prljavo', 'predmemoriranje', 'uprljan', 'umrljati', 'dirrty', 'kaljati', 'mazati', 'zamazati', 'prljavi', 'umrljan', 'spremljeno', 'l1_cache', 'onečišćavati', 'onečišćivati', 'predmemorija', 'tlo', 'zamazan', 'zaprljan', 'l1_priručna_memorija', 'nepristojan', 'cpu_cache_memorije', 'keš', 'tla', 'dirty', 'predmemorija_radne_memorije', 'priručna_memorija', 'mrljati', 'ublatiti', 'zablatiti', 'onečistiti', 'prljav', 'upute_cache', 'underworld', 'l3_cache_memorije', 'l2_cache', 'memorija', 'prljavštine', 'zaprljati', 'setasocijativne', 'cache', 'zamrljan', 'nečist', 'priručnu_liniji', 'cache_memorije', 'uprljati', 'l1_predmemorija', 'prljava', 'prljati']
dog	pasa	Found close match: ['psa', 'pas']	['zaponska', 'psa', 'obiteljski_canidae', 'pasželjezo', 'proganjati', 'psu', 'firedog', 'familiaris', 'porodica_canidae', 'kanida', 'natjeravati', 'zapinjač', 'pas', 'canis_familiaris', 'pratiti', 'staromodno_obučena_žena', 'hot_dog', 'naganjati', 'goniti', 'weenie', 'hrenovka', 'pas_meso', 'hulja', 'progoniti', 'domaćeg_psa', 'ganjati', 'canidae', 'domaći_pas', 'duck_hunt', 'slijediti', 'canis_lupus_familiaris', 'andiron', 'dog', 'hotdog', 'domaći_psi', 'lupus_familiaris', 'juriti', 'psi', 'loviti', 'hrenovke', 'porodica_pasa', 'hvatati']
drink	piće	Match	['pića', 'boozing', 'napijati_se', 'nazdraviti', 'popiti', 'napijanje', 'mamurluk', 'gutanja', 'lil_jon', 'napitak', 'piti', 'opijati_se', 'pitak', 'deglutition', 'opiti_se', 'opijanje', 'cugati', 'napiti_se', 'piće']
dry	vlažne	Incorrect	['isušiti', 'suh', 'sušiti_se', 'posušiti', 'buke', 'posušen', 'prohibicionist', 'osušiti', 'voća', 'stypsis', 'isušivati_se', 'osuši', 'isušen', 'osušen', 'suha', 'suho', 'bouquet', 'isušivati', 'sušiti_seposušiti_se', 'dry', 'posušiti_se', 'isušiti_se', 'mineralnost', 'suhi', 'tijelo', 'osušiti_se', 'sasušen', 'sušiti']
dull	tamnosmeđim	Not found	[]
dust	prašine	Match	['isprašiti', 'narančasta_pekoe', 'babylon_5', 'rasipavati', 'orange_pekoe', 'prašina', 'sipati', 'babilon_5', 'zaprašiti', 'prašinu', 'krhotine', 'razbacati', 'prašine', 'rasipati', 'rasuti', 'raspršiti', 'prah', 'fannings', 'razbacivati', 'raspršivati', 'pekoe', 'anđeo_prašine', 'oprašivati', 'disperzirati', 'phencyclidine', 'posipati', 'posuti', 'krš', 'dust', 'phencyclidine_hidroklorid']
ear	noktiju	Incorrect	['vrh', 'ušna_školjka', 'klas', 'uha_raspadu', 'pinna', 'klip', 'uha', 'tjeme', 'spica', 'ljudsko_uho', 'uho', 'uši', 'uhu', 'uška', 'pinnae']
earth	planeta	Incorrect	['terra_firma', 'brontitall', 'kopnene_mase', 'zemlja', 'saiyan', 'zemlje', 'golgafrincham', 'svjetovnost', 'svijetu', 'tlo', 'dragon_ball', 'majka_zemlja', 'kopno', 'čvrsto_tlo', 'svjetovna_briga', 'geja', 'earth', 'uzemljenje', 'andrómeda', 'lamuella', 'magrathea', 'suha_zemlja', 'krikkit', 'zemaljska_briga', 'zemaljska_kugla', 'terra', 'milliways', 'svijeta', 'svijet', 'ace_combat', 'zemlji']
eat	pojesti	Match	['crpiti', 'crpsti', 'jesti', 'hranjenja', 'potrošiti', 'izjedati', 'hraniti_se', 'blagovaona', 'jedi', 'izgristi', 'iscrpljivati', 'eat', 'iscrpiti', 'trošiti', 'jelo', 'pojesti', 'prazniti', 'nagrizati', 'korodirati', 'isprazniti', 'upotrebljavati', 'iscrpsti']
egg	jaja	Match	['kako_phasmida', 'nakaznici', 'osi', 'cheleutoptera', 'osi_model', 'open_systems_interconnection', 'sjemenik', 'jajna_stanica', 'ballock', 'jajašce', 'egg', 'sjemenici', 'testis', 'jajne_stanice', 'riba_jaja', 'jaja', 'elipsa', 'ptica_jaje', 'testisa', 'teste', 'testisi', 'velika_poluos', 'phasmida', 'proizvodnje_jaja', 'osi_modela', 'jajnih_stanica', 'phasmatodea', 'oval', 'jaje', 'mala_poluos', 'ovalan', 'mudo', 'kako_phasmatodea']
eye	oka	Match	['eye', 'oči', 'pupoljci', 'sredina', 'pupoljak', 'optički', 'složene_oči', 'sredini', 'oka', 'ušica', 'oko', 'oculi', 'the_eye', 'centar', 'eyewall', 'središte', 'oculus', 'optičkih', 'pup']
fall	pada	Match	['pripasti', 'pin', 'suton', 'padanje', 'sumrak', 'slijevati_se', 'snižavati_se', 'posrnuće', 'predaju', 'padaju', 'sniziti_se', 'poginuti', 'spuštati_se', 'jesen', 'smanjiti_se', 'umanjivati_se', 'krivina', 'fall', 'kosina', 'natalia_lesz', 'padati', 'the_fall', 'stradavati', 'evenfall', 'smanjiti', 'pada', 'stradati', 'nagib', 'crepuscle', 'declivity', 'padanja', 'gloam', 'predaja', 'kapitulacija', 'umanjiti_se', 'nautičkog_sumraka', 'pripadati', 'padina', 'nizbrdica', 'uginuti', 'crepuscule', 'jȅsēn', 'opasti', 'astronomski_sumrak', 'ugibati', 'spustiti_se', 'smanjivati_se', 'potpadati', 'pasti', 'pad', 'ginuti', 'pogibati', 'opadati']
far	daleko	Not found	[]
fat	masni	Found close match: ['masti', 'masno', 'mastan']	['ugojiti', 'lipidi', 'zakon_i_red_odjel_za_žrtve', 'masno', 'pretežak', 'pretilost', 'visceralnog_masnog_tkiva', 'masti', 'gojiti', 'masnoće', 'glycerolipid', 'lipide', 'masnoća', 'mastan', 'debeo', 'debela', 'lipid', 'lipida', 'voća', 'udebljati', 'stypsis', 'fat', 'toviti', 'debeli', 'salo', 'bouquet', 'masnog_tkiva', 'lipoid', 'masna_ulja', 'mast', 'masno_ulje', 'fat32', 'debljina', 'masno_tkivo', 'ugojenost', 'adiposis', 'utoviti', 'debljati', 'file_allocation_table', 'mineralnost', 'tijelo', 'buke', 'debelo']
father	otac	Match	['crkva_otac', 'muški_roditelj', 'suosnivač', 'katolički_svećenik', 'biološki_otac', 'svećenika', 'tata', 'oce', 'crkveni_otac', 'bog_otac', 'father', 'poduzetništvo', 'poduzetničke', 'rimokatolički_svećenik', 'osnivač', 'svećenik', 'uzrokovanje', 'otac', 'otac_crkve', 'poduzetničkog_načina_razmišljanja', 'the_gift', 'crkveni_oci', 'otacbog', 'poduzetničko_razmišljanje', 'poduzetnik', 'poduzetništva', 'serijski_poduzetnik', 'katoličkih_svećenika', 'entrepreneurialism', 'poduzetnici']
fear	straha	Found close match: ['strah', 'strava', 'strahovima']	['strah', 'inside_out', 'štovati', 'zastrašiti_se', 'plašiti_se', 'strepiti', 'bojati_se', 'ustrašiti_se', 'zabrinutost', 'preplašiti_se', 'prestrašiti_se', 'pribojavati_se', 'strašiti_se', 'strahovati', 'strahovima', 'strahopoštovanje', 'briga', 'bojazan', 'marillion', 'izvrnuto_obrnuto', 'fear', 'bojati', 'uplašiti_se', 'strava']
feather	perje	Match	['jak17', 'barbule', 'pèro', 'eclipse_perje', 'pero', 'jakovljev_jak15', 'jak15', 'perje', 'pera', 'filoplume', 'jakovljev_jak17', 'opernatiti']
few	nekoliko	Not found	[]
fight	borbe	Match	['protiviti_se', 'meč', 'sukobiti_se', 'sukobljavati_se', 'tuča', 'odupirati_se', 'oponirati', 'tući_se', 'angažman', 'suprotstavljati_se', 'konkurentnosti', 'suprotstaviti_se', 'naprezati_se', 'boriti_se', 'borba', 'borbenu_obuku', 'boj', 'usprotiviti_se', 'boriti', 'sukob', 'tučnjava', 'vojni_angažman', 'okršaja', 'bitka', 'borbe', 'oružane_borbe', 'oduprijeti_se', 'fight']
fingernail	noktiju	Match	['noktiju', 'nokat_na_prstu', 'nokti', 'nehet', 'nokat']
